livingSpaceRange,livingSpace,noRoomsRange,noRooms,yearConstructedRange,yearConstructed,regio1_numeric,big_city,totalRent
6,140.18,4,4.0,9.0,2019.0,13,0,2040.0
2,59.39,2,2.0,5.0,1997.0,4,1,460.0
4,87.0,3,3.0,5.0,1994.0,7,0,945.0
2,42.5,2,2.0,1.0,1930.0,1,1,377.02
5,111.72,4,4.0,9.0,2016.0,12,1,1922.0
4,93.83,3,3.0,1.0,1900.0,4,1,1144.0
1,31.0,2,2.0,2.0,1956.0,8,1,335.0
6,144.11,4,4.0,9.0,2018.0,4,1,2015.0
1,30.0,1,1.0,5.0,1996.0,4,0,315.0
2,45.0,1,1.0,4.0,1987.0,11,0,380.0
4,82.0,2,2.0,1.0,1903.0,11,0,711.0
1,40.0,2,2.0,3.0,1971.0,12,0,800.0
5,105.0,4,4.0,8.0,2015.0,13,0,1270.0
2,52.0,2,2.0,5.0,1991.0,8,0,813.0
5,120.63,3,3.0,9.0,2019.0,1,1,1411.37
3,66.0,3,3.0,1.0,1900.0,1,0,557.0
4,82.0,3,3.5,5.0,1997.0,8,1,870.0
2,44.0,1,1.0,3.0,1980.0,2,0,365.0
2,49.0,2,2.0,2.0,1965.0,14,1,1120.0
7,220.0,4,4.0,5.0,1998.0,15,1,2500.0
3,68.75,3,3.0,3.0,1979.0,2,0,399.0
4,84.0,3,3.0,1.0,1903.0,14,0,715.0
2,46.18,2,2.0,4.0,1981.0,5,0,360.0
4,95.0,3,3.0,9.0,2019.0,14,0,960.0
1,39.87,1,1.0,6.0,2001.0,4,0,319.0
1,33.4,1,1.0,2.0,1969.0,3,0,285.4
6,122.6,4,4.0,9.0,2018.0,12,1,1846.0
3,62.18,2,2.0,9.0,2019.0,14,1,1045.0
4,82.0,3,3.0,6.0,2002.0,8,0,840.0
6,129.61,4,4.0,9.0,2019.0,16,1,1680.91
2,55.0,2,2.0,5.0,1999.0,14,0,640.0
3,68.0,3,3.0,1.0,1930.0,4,0,510.0
3,65.0,3,3.0,2.0,1964.0,8,0,730.0
3,61.27,2,2.5,3.0,1976.0,3,0,520.58
1,38.26,2,2.0,2.0,1953.0,3,1,420.0
5,118.0,4,4.0,3.0,1976.0,7,0,690.0
3,66.16,3,3.0,2.0,1965.0,1,0,500.0
1,36.14,1,1.0,3.0,1972.0,1,0,334.0
2,60.1,2,2.5,1.0,1945.0,8,1,493.0
3,61.6,2,2.0,5.0,1996.0,4,0,516.48
1,38.63,1,1.0,5.0,1995.0,4,1,290.0
5,105.0,4,4.0,8.0,2012.0,5,0,1720.0
2,56.0,2,2.0,5.0,1993.0,13,1,820.0
3,80.1,4,4.0,4.0,1982.0,11,0,580.0
2,53.5,1,1.0,9.0,2020.0,8,0,974.0
4,97.8,3,3.0,1.0,1910.0,12,0,1070.2
3,72.0,2,2.0,1.0,1925.0,3,0,550.0
3,72.99,3,3.0,2.0,1964.0,8,0,621.0
2,57.9,2,2.5,2.0,1956.0,8,1,422.0
2,60.0,3,3.0,2.0,1965.0,7,0,400.0
3,67.0,2,2.0,1.0,1900.0,8,1,510.0
5,109.0,4,4.0,1.0,1895.0,4,1,801.4
4,92.2,3,3.5,9.0,2018.0,4,1,1435.0
4,87.0,3,3.0,1.0,1900.0,5,0,860.0
2,57.15,3,3.0,3.0,1976.0,1,1,425.77
3,72.0,3,3.0,3.0,1972.0,8,0,580.0
3,66.0,2,2.0,3.0,1971.0,11,0,670.0
1,31.0,1,1.0,4.0,1983.0,12,0,600.0
3,76.5,3,3.0,1.0,1898.0,1,0,640.0
3,74.19,3,3.0,2.0,1953.0,10,0,680.0
2,60.0,3,3.0,2.0,1970.0,8,1,760.0
2,49.0,2,2.0,1.0,1900.0,10,0,540.0
5,110.0,3,3.0,6.0,2004.0,13,0,1250.0
4,86.0,3,3.5,2.0,1963.0,6,1,670.0
3,63.0,2,2.0,5.0,1993.0,7,0,540.0
3,80.0,2,2.0,4.0,1989.0,13,0,680.0
6,150.0,5,5.0,1.0,1908.0,8,1,1080.0
3,73.77,3,3.0,2.0,1959.0,10,0,649.0
5,105.0,3,3.5,9.0,2020.0,8,1,1088.0
2,59.17,3,3.0,4.0,1983.0,5,0,425.0
1,36.41,1,1.0,3.0,1973.0,8,1,340.0
4,94.0,3,3.0,2.0,1963.0,8,1,990.0
3,61.1,2,2.0,2.0,1960.0,8,1,411.0
3,75.0,2,2.0,3.0,1975.0,12,0,955.0
4,99.0,3,3.5,1.0,1900.0,12,0,655.0
1,31.0,1,1.0,2.0,1959.0,13,1,1500.0
2,55.0,2,2.0,5.0,1995.0,14,0,940.0
4,82.0,3,3.0,5.0,1995.0,7,0,780.0
3,62.51,3,3.0,2.0,1956.0,8,1,690.0
2,42.19,1,1.0,4.0,1982.0,5,0,340.0
3,79.0,4,4.0,2.0,1958.0,8,1,630.0
4,98.0,3,3.0,1.0,1900.0,12,1,1040.0
5,115.84,4,4.0,9.0,2017.0,13,1,1650.0
2,46.96,2,2.0,2.0,1962.0,4,1,400.0
1,38.86,1,1.0,5.0,1998.0,4,0,269.0
4,100.0,3,3.0,5.0,1992.0,14,0,850.0
6,147.17,5,6.0,6.0,2001.0,15,1,1954.42
3,69.03,2,2.0,5.0,1998.0,4,0,580.0
1,36.5,1,1.0,1.0,1935.0,4,1,280.0
3,80.0,3,3.0,4.0,1984.0,12,0,930.0
2,52.8,3,3.0,2.0,1955.0,8,0,400.0
5,105.0,4,4.0,1.0,1905.0,4,0,690.0
4,89.0,3,3.0,5.0,1993.0,12,0,1300.0
3,61.0,3,3.0,2.0,1970.0,1,1,460.0
3,77.0,2,2.0,1.0,1900.0,8,0,530.0
4,82.94,2,2.5,1.0,1870.0,3,0,680.0
4,88.0,4,4.0,2.0,1959.0,8,1,1050.0
3,69.0,3,3.0,1.0,1905.0,4,1,500.0
2,53.92,2,2.0,1.0,1910.0,15,1,1150.0
2,47.0,2,2.0,5.0,2000.0,4,0,365.0
1,35.0,2,2.0,2.0,1952.0,8,1,298.0
1,40.21,2,2.0,1.0,1909.0,4,1,365.37
1,40.52,2,2.0,1.0,1935.0,10,1,439.0
2,57.41,2,2.0,1.0,1930.0,7,1,653.61
2,44.04,2,2.0,1.0,1924.0,1,0,405.0
3,78.99,3,3.0,5.0,1998.0,4,0,635.0
4,81.0,3,3.0,5.0,1994.0,10,0,925.0
3,66.76,3,3.0,2.0,1960.0,8,1,689.0
3,80.3,3,3.0,4.0,1981.0,4,1,617.68
4,85.0,3,3.0,5.0,1991.0,13,0,1020.0
4,100.0,4,4.0,1.0,1935.0,4,0,755.0
4,91.27,4,4.0,1.0,1880.0,1,0,697.22
5,106.87,3,3.0,9.0,2017.0,11,0,1250.0
2,51.0,2,2.0,1.0,1937.0,16,1,1200.0
6,125.46,3,3.0,5.0,1998.0,15,1,2555.0
2,54.2,2,2.0,8.0,2015.0,4,1,690.0
5,119.0,4,4.0,9.0,2019.0,12,0,1881.2
2,48.0,2,2.0,5.0,1998.0,4,0,360.0
1,31.52,1,1.0,5.0,1997.0,4,1,320.0
3,65.0,2,2.0,5.0,1992.0,14,0,850.0
3,68.33,2,2.0,1.0,1900.0,4,1,580.0
4,85.0,3,3.0,5.0,2000.0,14,0,570.0
3,61.9,2,2.0,5.0,1996.0,8,1,660.0
