regio1,baseRent
12,380.0
12,380.0
12,380.0
12,380.0
12,380.0
12,380.0
12,380.0
12,381.0
12,381.0
12,385.0
12,385.0
12,385.0
12,385.0
12,386.0
12,386.0
12,386.0
12,386.0
12,388.0
12,389.0
12,390.0
12,390.0
12,390.0
12,390.0
12,390.0
12,390.0
12,390.0
12,390.0
12,390.0
12,390.0
12,390.0
12,390.0
12,390.0
12,390.0
12,390.0
12,390.0
12,390.0
12,390.0
12,390.0
12,390.0
12,390.0
12,390.0
12,390.0
12,390.0
12,390.0
12,390.0
12,390.0
12,390.0
12,390.0
12,390.0
12,390.0
12,390.0
12,390.0
12,390.0
12,390.0
12,390.0
12,390.0
12,390.0
12,393.0
12,394.4
12,395.0
12,395.0
12,395.0
12,395.0
12,395.0
12,395.0
12,395.0
12,395.0
12,395.0
12,395.0
12,395.0
12,395.0
12,395.0
12,395.0
12,395.0
12,395.0
12,395.0
12,395.0
12,395.0
12,395.0
12,395.0
12,396.2
12,398.0
12,398.0
12,399.0
12,399.0
12,399.0
12,400.0
12,400.0
12,400.0
12,400.0
12,400.0
12,400.0
12,400.0
12,400.0
12,400.0
12,400.0
12,400.0
12,400.0
12,400.0
12,400.0
12,400.0
12,400.0
12,400.0
12,400.0
12,400.0
12,400.0
12,400.0
12,400.0
12,400.0
12,400.0
12,400.0
12,400.0
12,400.0
12,400.0
12,400.0
12,400.0
12,400.0
12,400.0
12,400.0
12,400.0
12,400.0
12,400.0
12,400.0
12,400.0
12,400.0
12,400.0
12,400.0
12,400.0
12,400.0
12,400.0
12,400.0
12,400.0
12,400.0
12,400.0
12,400.0
12,400.0
12,400.0
12,400.0
12,400.0
12,400.0
12,400.0
12,400.0
12,400.0
12,400.0
12,400.0
12,400.0
12,400.0
12,400.0
12,400.0
12,400.0
12,400.0
12,400.0
12,400.0
12,400.0
12,400.0
12,400.0
12,400.0
12,400.0
12,400.0
12,400.0
12,400.0
12,400.0
12,400.0
12,400.0
12,400.0
12,400.62
12,402.22
12,402.9
12,403.62
12,405.0
12,405.0
12,408.0
12,410.0
12,410.0
12,410.0
12,410.0
12,410.0
12,410.0
12,410.0
12,410.0
12,410.0
12,410.0
12,410.0
12,410.0
12,410.0
12,410.0
12,410.0
12,410.15
12,411.0
12,414.0
12,414.0
12,415.0
12,415.0
12,415.0
12,415.0
12,415.0
12,415.0
12,415.0
12,415.0
12,417.0
12,417.0
12,417.0
12,417.15
12,418.0
12,420.0
12,420.0
12,420.0
12,420.0
12,420.0
12,420.0
12,420.0
12,420.0
12,420.0
12,420.0
12,420.0
12,420.0
12,420.0
12,420.0
12,420.0
12,420.0
12,420.0
12,420.0
12,420.0
12,420.0
12,420.0
12,420.0
12,420.0
12,420.0
12,420.0
12,420.0
12,420.0
12,420.0
12,420.0
12,420.0
12,420.0
12,420.0
12,420.0
12,420.0
12,420.0
12,420.0
12,420.0
12,420.0
12,420.0
12,420.0
12,420.0
12,420.0
12,420.0
12,420.0
12,420.0
12,420.0
12,420.0
12,420.0
12,420.0
12,420.0
12,420.0
12,422.0
12,422.0
12,425.0
12,425.0
12,425.0
12,425.0
12,425.0
12,425.0
12,425.0
12,425.0
12,425.0
12,425.0
12,425.0
12,425.0
12,425.0
12,425.0
12,426.0
12,429.0
12,430.0
12,430.0
12,430.0
12,430.0
12,430.0
12,430.0
12,430.0
12,430.0
12,430.0
12,430.0
12,430.0
12,430.0
12,430.0
12,430.0
12,430.0
12,430.0
12,430.0
12,430.0
12,430.0
12,430.0
12,430.0
12,430.0
12,430.0
12,430.0
12,430.0
12,430.0
12,430.0
12,430.0
12,430.0
12,430.0
12,430.0
12,430.0
12,430.0
12,430.0
12,430.0
12,430.0
12,431.53
12,432.0
12,432.0
12,434.0
12,435.0
12,435.0
12,435.0
12,435.0
12,435.0
12,435.8
12,436.0
12,437.67
12,439.0
12,440.0
12,440.0
12,440.0
12,440.0
12,440.0
12,440.0
12,440.0
12,440.0
12,440.0
12,440.0
12,440.0
12,440.0
