livingSpaceRange,livingSpace,noRoomsRange,noRooms,yearConstructedRange,yearConstructed,regio1_numeric,big_city,baseRent
3,65.0,2,2.0,1.0,1900.0,4,1,470.0
5,110.0,4,4.0,3.0,1973.0,14,0,1400.0
3,75.0,3,3.0,2.0,1967.0,13,0,450.0
1,40.47,1,1.0,4.0,1986.0,14,1,540.0
3,68.0,2,2.0,6.0,2003.0,8,1,670.0
1,30.0,1,1.0,2.0,1960.0,8,1,320.0
4,91.0,4,4.0,1.0,1900.0,4,1,699.0
1,38.0,1,1.0,1.0,1900.0,4,1,250.0
4,88.0,3,3.0,3.0,1972.0,13,0,900.0
3,64.0,3,3.0,1.0,1865.0,15,1,955.0
4,100.0,3,3.0,1.0,1920.0,4,1,600.0
1,30.0,1,1.0,9.0,2018.0,14,1,940.0
2,47.0,1,1.0,4.0,1986.0,14,0,1065.0
2,41.19,2,2.0,2.0,1963.0,1,0,208.0
